league,source,home_team,away_team,over_1_5,over_2_5,over_3_5,home_over_1_5,away_over_1_5,xg,home_h2h,draw_h2h,away_h2h,score,g_h,g_a,total_goals,r_1_5,r_2_5,r_home_1_5,r_away_1_5,win
Bundesliga,ud,Holstein Kiel,Bayern Munich,0.9826487347633356,0.938031195583341,0.8487961172233521,0.0,0.938031195583341,6.0,0.0,0.0,0.0,1–6,1,6,7,1.0,1.0,0.0,1.0,A
Bundesliga,ud,Augsburg,St. Pauli,0.593994150290162,0.3233235838169366,0.1428765395014529,0.3233235838169366,0.0,2.0,0.0,0.0,0.0,3–1,3,1,4,1.0,1.0,1.0,0.0,H
Bundesliga,ud,Mainz 05,Werder Bremen,0.8351592500013925,0.5421090277816456,0.2653393734629956,0.3233235838169366,0.3233235838169366,4.0,0.0,0.0,0.0,1–2,1,2,3,1.0,1.0,0.0,1.0,A
Serie A,ud,Atalanta,Fiorentina,,,,,,,0.0,0.0,0.0,3–2,3,2,5,1.0,1.0,1.0,1.0,H
Serie A,ud,Cagliari,Napoli,0.4421745996289252,0.1911531694619418,0.06564245437845,0.1911531694619418,0.0,1.5,0.0,0.0,0.0,0–4,0,4,4,1.0,1.0,0.0,1.0,A
Serie A,ud,Como,Bologna,,,,,,,0.0,0.0,0.0,2–2,2,2,4,1.0,1.0,1.0,1.0,E
Serie A,ud,Empoli,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0–0,0,0,0,0.0,0.0,0.0,0.0,E
Serie A,ud,Genoa,Roma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1–1,1,1,2,1.0,0.0,0.0,0.0,E
Serie A,ud,Lazio,Hellas Verona,,,,,,,0.0,0.0,0.0,2–1,2,1,3,1.0,1.0,1.0,0.0,H
Serie A,ud,Milan,Venezia,0.8534748888901265,0.6107926736143985,0.365057851857215,0.5768099188731564,0.0803013970713941,4.0,0.0,0.0,0.0,4–0,4,0,4,1.0,1.0,1.0,0.0,H
Serie A,ud,Monza,Inter,0.593994150290162,0.3233235838169366,0.1428765395014529,0.0,0.3233235838169366,2.0,0.0,0.0,0.0,1–1,1,1,2,1.0,0.0,0.0,0.0,E
Serie A,ud,Parma,Udinese,0.5895750068805059,0.2561046999709171,0.0833841820331301,0.1911531694619418,0.0803013970713941,2.5,0.0,0.0,0.0,2–3,2,3,5,1.0,1.0,1.0,1.0,A
Serie A,ud,Torino,Lecce,0.9084218055563292,0.7618966944464556,0.566529879633291,0.7618966944464556,0.0,4.0,0.0,0.0,0.0,0–0,0,0,0,0.0,0.0,0.0,0.0,E
Ligue 1,ud,Auxerre,Monaco,0.593994150290162,0.3233235838169366,0.1428765395014529,0.0,0.3233235838169366,2.0,0.0,0.0,0.0,0–3,0,3,3,1.0,1.0,0.0,1.0,A
