Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Seattle Sounders FC,16.0,8.0,6.0,2.0,24.0,13.0,11.0,30.0,1.88,25.6,15.2,10.4,0.65,1.6,0.95,-0.10000000000000009,0.13749999999999996,17.0,8.0,2.0,7.0,26.0,21.0,5.0,26.0,1.53,22.4,21.9,0.4,0.03,1.3176470588235294,1.288235294117647,0.21176470588235285,0.05294117647058805
Real Salt Lake,16.0,10.0,3.0,3.0,36.0,19.0,17.0,33.0,2.06,31.2,16.9,14.3,0.9,1.95,1.05625,0.30000000000000004,-0.1312500000000001,17.0,5.0,8.0,4.0,27.0,28.0,-1.0,23.0,1.35,22.6,25.5,-2.9,-0.17,1.3294117647058825,1.5,0.25882352941176445,-0.1470588235294117
Houston Dynamo,16.0,6.0,7.0,3.0,20.0,14.0,6.0,25.0,1.56,22.3,15.2,7.2,0.45,1.39375,0.95,-0.14375000000000004,0.07499999999999996,17.0,8.0,2.0,7.0,25.0,24.0,1.0,26.0,1.53,19.3,28.4,-9.1,-0.53,1.1352941176470588,1.6705882352941175,0.33529411764705896,0.25882352941176445
Colorado Rapids,17.0,10.0,3.0,4.0,33.0,22.0,11.0,33.0,1.94,31.0,20.2,10.8,0.63,1.8235294117647058,1.188235294117647,0.11764705882352944,-0.10588235294117654,16.0,5.0,2.0,9.0,26.0,35.0,-9.0,17.0,1.06,24.7,29.3,-4.6,-0.29,1.54375,1.83125,0.08125000000000004,-0.35624999999999996
Minnesota Utd,16.0,6.0,4.0,6.0,26.0,22.0,4.0,22.0,1.38,25.8,17.2,8.6,0.54,1.6125,1.075,0.012499999999999956,-0.30000000000000004,17.0,8.0,3.0,6.0,28.0,26.0,2.0,27.0,1.59,25.2,32.3,-7.1,-0.42,1.4823529411764707,1.9,0.16470588235294104,0.37058823529411766
Vancouver W'caps,16.0,6.0,4.0,6.0,25.0,24.0,1.0,22.0,1.38,28.0,20.5,7.6,0.47,1.75,1.28125,-0.1875,-0.21875,16.0,7.0,4.0,5.0,25.0,21.0,4.0,25.0,1.56,19.3,22.5,-3.3,-0.2,1.20625,1.40625,0.35624999999999996,0.09375
Portland Timbers,17.0,9.0,5.0,3.0,39.0,25.0,14.0,32.0,1.88,34.6,21.5,13.1,0.77,2.0352941176470587,1.2647058823529411,0.2588235294117647,-0.20588235294117663,16.0,3.0,5.0,8.0,25.0,30.0,-5.0,14.0,0.88,18.8,25.8,-6.9,-0.43,1.175,1.6125,0.38749999999999996,-0.26249999999999996
Austin,16.0,6.0,5.0,5.0,24.0,23.0,1.0,23.0,1.44,21.9,25.7,-3.8,-0.24,1.36875,1.60625,0.1312500000000001,0.16874999999999996,17.0,4.0,4.0,9.0,12.0,23.0,-11.0,16.0,0.94,15.4,29.4,-14.0,-0.82,0.9058823529411765,1.7294117647058822,-0.19999999999999996,0.3764705882352939
FC Dallas,16.0,9.0,2.0,5.0,32.0,24.0,8.0,29.0,1.81,23.0,22.7,0.3,0.02,1.4375,1.41875,0.5625,-0.08125000000000004,17.0,1.0,6.0,10.0,20.0,31.0,-11.0,9.0,0.53,18.5,29.7,-11.3,-0.66,1.088235294117647,1.7470588235294118,0.08823529411764719,-0.07647058823529407
St. Louis,17.0,7.0,5.0,5.0,23.0,21.0,2.0,26.0,1.53,25.3,24.0,1.3,0.08,1.488235294117647,1.411764705882353,-0.1352941176470588,0.17647058823529416,16.0,1.0,8.0,7.0,26.0,38.0,-12.0,11.0,0.69,21.0,30.8,-9.9,-0.62,1.3125,1.925,0.3125,-0.44999999999999996
Sporting KC,17.0,6.0,4.0,7.0,33.0,32.0,1.0,22.0,1.29,26.5,24.0,2.5,0.15,1.5588235294117647,1.411764705882353,0.38235294117647056,-0.47058823529411753,16.0,2.0,3.0,11.0,17.0,32.0,-15.0,9.0,0.56,14.8,28.4,-13.6,-0.85,0.925,1.775,0.13749999999999996,-0.2250000000000001
SJ Earthquakes,17.0,4.0,1.0,12.0,18.0,32.0,-14.0,13.0,0.76,24.8,25.7,-1.0,-0.06,1.4588235294117649,1.511764705882353,-0.40000000000000013,-0.37058823529411766,16.0,2.0,2.0,12.0,22.0,43.0,-21.0,8.0,0.5,19.4,30.4,-11.0,-0.69,1.2125,1.9,0.1625000000000001,-0.7875000000000001
