Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Nordsjælland,4.0,3.0,0.0,1.0,9.0,4.0,5.0,9.0,2.25,2.25,1.0,3.0,3.0,0.0,0.0,8.0,2.0,6.0,9.0,3.0,2.6666666666666665,0.6666666666666666
Hjørring,3.0,2.0,1.0,0.0,8.0,3.0,5.0,7.0,2.33,2.6666666666666665,1.0,4.0,3.0,1.0,0.0,8.0,0.0,8.0,10.0,2.5,2.0,0.0
Odense Q,3.0,1.0,2.0,0.0,6.0,2.0,4.0,5.0,1.67,2.0,0.6666666666666666,4.0,2.0,1.0,1.0,5.0,4.0,1.0,7.0,1.75,1.25,1.0
Brøndby,4.0,2.0,1.0,1.0,5.0,3.0,2.0,7.0,1.75,1.25,0.75,3.0,1.0,1.0,1.0,5.0,5.0,0.0,4.0,1.33,1.6666666666666667,1.6666666666666667
HB Køge,4.0,1.0,1.0,2.0,5.0,4.0,1.0,4.0,1.0,1.25,1.0,3.0,2.0,0.0,1.0,5.0,2.0,3.0,6.0,2.0,1.6666666666666667,0.6666666666666666
KoldingQ,3.0,1.0,1.0,1.0,5.0,5.0,0.0,4.0,1.33,1.6666666666666667,1.6666666666666667,4.0,0.0,1.0,3.0,1.0,12.0,-11.0,1.0,0.25,0.25,3.0
Aarhus GF,4.0,0.0,0.0,4.0,2.0,10.0,-8.0,0.0,0.0,0.5,2.5,3.0,1.0,0.0,2.0,3.0,6.0,-3.0,3.0,1.0,1.0,2.0
B93 København,3.0,0.0,0.0,3.0,1.0,8.0,-7.0,0.0,0.0,0.3333333333333333,2.6666666666666665,4.0,0.0,2.0,2.0,4.0,10.0,-6.0,2.0,0.5,1.0,2.5
